"","sample","Area.12.0","Area.BHT","Area.13.0","Area.i.14.0","Area.14.0","Area.14.1n.9","Area.14.1n.7","Area.14.1n.5","Area.i.15.0","Area.ai.15.0","Area.15.0","Area.i16.0","Area.16.0","Area.16.1n.11","Area.16.1n.9","Area.16.1n.7","Area.16.1n.5","Area.17.1.a.","Area.i.17.0","Area.16.2n.6","Area.ai.17.0","Area.17.1.b.","Area.16.2n.4","Area.17.0","Area.Phytane","Area.16.3n.4","Area.17.1","Area.16.4n.3","Area.16.4n.1","Area.18.0","Area.18.1n.13","Area.18.1n.11","Area.18.1n.9","Area.18.1n.7","Area.18.1n.5","Area.18.2d5.11","Area.18.2n.7","Area.18.2n.6","Area.18.2n.4","Area.18.3n.6","Area.18.3n.4","Area.18.3n.3","Area.18.3n.1","Area.18.4n.3","Area.18.4n.1","Area.20.0","Area.20.1n.11","Area.20.1n.9","Area.20.1n.7","Area.20.2NMID1","Area.20.2n.9","Area.20.2NMID2","Area.20.2n.6","Area.20.3NMIT","Area.20.3n.6","Area.20.4n.6","Area.20.3n.3","Area.20.4n.3","Area.20.5n.3","Area.22.0","Area.22.1n.11","Area.22.1n.9","Area.22.1n.7","Area.22.2NMID1","Area.22.2NMID2","Area.22.2n.6","Area.21.5n.3","Area.23.0","Area.22.4n.6","Area.22.5n.6","Area.22.4n.3","Area.22.5n.3","Area.24.0","Area.22.6n.3","Area.24.1n.9","Area.12.0.1","Area.BHT.1","Area.13.0.1","Area.i.14.0.1","Area.14.0.1","Area.14.1n.9.1","Area.14.1n.7.1","Area.14.1n.5.1","Area.i.15.0.1","Area.ai.15.0.1","Area.15.0.1","Area.i16.0.1","Area.16.0.1","Area.16.1n.11.1","Area.16.1n.9.1","Area.16.1n.7.1","Area.16.1n.5.1","Area.17.1.a..1","Area.i.17.0.1","Area.16.2n.6.1","Area.ai.17.0.1","Area.17.1.b..1","Area.16.2n.4.1","Area.17.0.1","Area.Phytane.1","Area.16.3n.4.1","Area.17.1.1","Area.16.4n.3.1","Area.16.4n.1.1","Area.18.0.1","Area.18.1n.13.1","Area.18.1n.11.1","Area.18.1n.9.1","Area.18.1n.7.1","Area.18.1n.5.1","Area.18.2d5.11.1","Area.18.2n.7.1","Area.18.2n.6.1","Area.18.2n.4.1","Area.18.3n.6.1","Area.18.3n.4.1","Area.18.3n.3.1","Area.18.3n.1.1","Area.18.4n.3.1","Area.18.4n.1.1","Area.20.0.1","Area.20.1n.11.1","Area.20.1n.9.1","Area.20.1n.7.1","Area.20.2NMID1.1","Area.20.2n.9.1","Area.20.2NMID2.1","Area.20.2n.6.1","Area.20.3NMIT.1","Area.20.3n.6.1","Area.20.4n.6.1","Area.20.3n.3.1","Area.20.4n.3.1","Area.20.5n.3.1","Area.22.0.1","Area.22.1n.11.1","Area.22.1n.9.1","Area.22.1n.7.1","Area.22.2NMID1.1","Area.22.2NMID2.1","Area.22.2n.6.1","Area.21.5n.3.1","Area.23.0.1","Area.22.4n.6.1","Area.22.5n.6.1","Area.22.4n.3.1","Area.22.5n.3.1","Area.24.0.1","Area.22.6n.3.1","Area.24.1n.9.1","Quantity.12.0","Quantity.BHT","Quantity.13.0","Quantity.i.14.0","Quantity.14.0","Quantity.14.1n.9","Quantity.14.1n.7","Quantity.14.1n.5","Quantity.i.15.0","Quantity.ai.15.0","Quantity.15.0","Quantity.i16.0","Quantity.16.0","Quantity.16.1n.11","Quantity.16.1n.9","Quantity.16.1n.7","Quantity.16.1n.5","Quantity.17.1.a.","Quantity.i.17.0","Quantity.16.2n.6","Quantity.ai.17.0","Quantity.17.1.b.","Quantity.16.2n.4","Quantity.17.0","Quantity.Phytane","Quantity.16.3n.4","Quantity.17.1","Quantity.16.4n.3","Quantity.16.4n.1","Quantity.18.0","Quantity.18.1n.13","Quantity.18.1n.11","Quantity.18.1n.9","Quantity.18.1n.7","Quantity.18.1n.5","Quantity.18.2d5.11","Quantity.18.2n.7","Quantity.18.2n.6","Quantity.18.2n.4","Quantity.18.3n.6","Quantity.18.3n.4","Quantity.18.3n.3","Quantity.18.3n.1","Quantity.18.4n.3","Quantity.18.4n.1","Quantity.20.0","Quantity.20.1n.11","Quantity.20.1n.9","Quantity.20.1n.7","Quantity.20.2NMID1","Quantity.20.2n.9","Quantity.20.2NMID2","Quantity.20.2n.6","Quantity.20.3NMIT","Quantity.20.3n.6","Quantity.20.4n.6","Quantity.20.3n.3","Quantity.20.4n.3","Quantity.20.5n.3","Quantity.22.0","Quantity.22.1n.11","Quantity.22.1n.9","Quantity.22.1n.7","Quantity.22.2NMID1","Quantity.22.2NMID2","Quantity.22.2n.6","Quantity.21.5n.3","Quantity.23.0","Quantity.22.4n.6","Quantity.22.5n.6","Quantity.22.4n.3","Quantity.22.5n.3","Quantity.24.0","Quantity.22.6n.3","Quantity.24.1n.9","Total.Peak.Area","file","Area.DMA.1","Area.DMA.2","Area.DMA.1.1","Area.DMA.2.1","Quantity.DMA.1","Quantity.DMA.2"
"258","2025\08\29\SCAL_0461.DATA",2.7,3821.6,1.5,NA,146.8,NA,NA,NA,4.7,1.4,72.1,28.2,2214.8,35.3,20.5,173.9,31.4,NA,60.6,7,10.9,6,7.3,81.3,62.4,NA,16.1,3,5.4,711.3,NA,7.6,136.9,510.3,26.6,2.6,NA,38.3,41.4,5.9,7.1,42.9,NA,288.4,8.3,5.1,95,73.8,NA,39.4,7.2,7,46.8,8.1,7.6,136.9,22.4,41.7,2605.4,3.3,3.3,NA,4.6,10.4,14.5,4.1,141.8,2564.4,8.7,56.6,NA,127.1,NA,3463.9,NA,163.6,229297.3,89.4,NA,8806.3,NA,NA,NA,284.8,83.9,4325,1690.7,132888,2118.2,1232.7,10436.4,1881.5,NA,3633.4,422.9,656.4,362.2,440.3,4878.9,3743.1,NA,968.6,181.4,322.7,42680.4,NA,453.4,8216.5,30619.4,1595.8,153.4,NA,2299.3,2486.9,353.5,424.6,2571.5,NA,17303.9,500.7,308.5,5699,4426.8,NA,2361,429,418.9,2806.7,484.7,455.4,8212.1,1345.5,2501.8,156326.7,199.3,199,NA,275.1,626.7,871.5,246.4,8509,153865.5,519,3398.1,NA,7628.4,NA,207832.4,NA,0.02,0,0.01,NA,1.09,NA,NA,NA,0.04,0.01,0.53,0.2,15.9,0.25,0.15,1.26,0.23,NA,0.43,0.05,0.08,0.04,0.05,0.58,0.46,NA,0.11,0.02,0.04,4.92,NA,0.05,0.95,3.55,0.18,0.02,NA,0.27,0.29,0.04,0.05,0.3,NA,2,0.06,0.03,0.64,0.5,NA,0.27,0.05,0.05,0.32,0.05,0.05,0.92,0.15,0.28,17.49,0.02,0.02,NA,0.03,0.07,0.1,0.03,0.95,17.21,0.06,0.37,NA,0.84,NA,22.36,NA,18728.43,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",204.1,233.2,12248.7,13990.7,1.37,1.57
"259","2025\08\29\SCAL_0462.DATA",1.7,919.7,1.3,NA,108.7,NA,NA,NA,3.6,1.2,48.1,20.8,1290.2,26.8,14.2,118.9,23,NA,38.4,6,5.9,6.2,7.6,53.5,48.8,NA,10.6,NA,3.7,351.7,NA,5.5,81,286.9,16.5,2.2,NA,26.7,25.5,4.1,NA,28.6,NA,189.9,NA,3.5,54.8,47,NA,53.5,3.6,NA,34.9,4.7,5.1,82.6,14.3,22.1,1526.4,3.1,NA,NA,NA,4.4,6.9,NA,78.7,1842.1,5.4,46.2,NA,55.3,NA,2189.8,NA,101.6,55183.5,79,NA,6523.9,NA,NA,NA,216.7,73.6,2883.7,1248.7,77411.7,1606.8,854.9,7132.7,1378.2,NA,2304.5,362.2,355.5,373,453.6,3209.2,2925.5,NA,634.5,NA,223.8,21104.6,NA,328.1,4858.8,17216.4,989.5,134.3,NA,1601.3,1529.6,244.7,NA,1714.3,NA,11393.6,NA,208.4,3290.3,2820.5,NA,3210.1,218.1,NA,2095.2,279.6,307.8,4955.5,856.1,1324.6,91584.4,185.2,NA,NA,NA,262.9,412.1,NA,4719.3,110523.8,325.5,2773.8,NA,3320.6,NA,131389,NA,0.02,0,0.02,NA,1.29,NA,NA,NA,0.04,0.01,0.57,0.24,14.83,0.31,0.16,1.37,0.27,NA,0.44,0.07,0.07,0.07,0.09,0.61,0.57,NA,0.11,NA,0.04,3.9,NA,0.06,0.9,3.2,0.18,0.02,NA,0.3,0.28,0.05,NA,0.32,NA,2.1,NA,0.04,0.6,0.51,NA,0.58,0.04,NA,0.38,0.05,0.06,0.89,0.15,0.24,16.41,0.03,NA,NA,NA,0.05,0.07,NA,0.85,19.8,0.06,0.49,NA,0.58,NA,22.63,NA,10217.4,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",127.6,151.4,7658.4,9082.2,1.37,1.63
"260","2025\08\29\SCAL_0463.DATA",2,1402.1,NA,NA,103.2,NA,NA,NA,3.2,1.3,44.2,21.4,1373.1,27.2,15.6,103.5,22.2,NA,39.8,5.7,4.8,5.8,6.1,58.3,58.1,NA,11.7,2.9,3.2,422.3,NA,0,79.3,320.1,18.5,2.4,NA,26.6,28.4,3.6,NA,29.9,3.7,171.2,4.4,3.5,52.1,46.5,NA,32.1,4,22.2,34,5.1,5.8,94.2,17.3,30.8,1770.3,3.2,NA,NA,3,5.9,7.4,NA,98,1971.7,6.2,52.2,NA,77.9,NA,2351.6,NA,118.2,84128.9,NA,NA,6190.4,NA,NA,NA,194.6,80.5,2654.3,1281,82384.2,1632,936,6207.4,1329.4,NA,2389.2,339.2,287.6,349.3,363.4,3495.1,3485.4,NA,699.8,175.7,194.2,25339.1,NA,0,4760,19204.1,1110.1,143.1,NA,1593.4,1703.3,215.5,NA,1791.9,223.9,10274.4,263.2,210.2,3124.8,2789.6,NA,1927,240.9,1330.6,2037,304.4,349.3,5654.7,1038.4,1849,106215.6,191.8,NA,NA,180.3,353,445.1,NA,5881.2,118301.2,373.7,3130.4,NA,4671.3,NA,141095.5,NA,0.02,0,NA,NA,1.13,NA,NA,NA,0.04,0.01,0.48,0.23,14.49,0.29,0.17,1.1,0.24,NA,0.42,0.06,0.05,0.06,0.06,0.61,0.62,NA,0.12,0.03,0.03,4.3,NA,0,0.81,3.27,0.19,0.02,NA,0.27,0.29,0.04,NA,0.3,0.04,1.74,0.04,0.03,0.52,0.46,NA,0.32,0.04,0.22,0.34,0.05,0.06,0.93,0.17,0.3,17.47,0.03,NA,NA,0.03,0.06,0.07,NA,0.97,19.46,0.06,0.5,NA,0.75,NA,22.32,NA,11528.19,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",157.9,173.4,9473.9,10402,1.56,1.71
"261","2025\08\29\SCAL_0464_1.DATA",2.2,2726.8,1.5,NA,150.3,NA,NA,NA,4.2,1.7,66.8,29.3,1867.6,40,20.1,135.2,29.5,NA,52.4,2.7,7.1,6.7,7.9,83.7,72.7,NA,15.3,3.2,4.4,593,NA,10.1,90.1,376.6,28.1,8.6,6.1,36,37.5,4.7,5.3,37.5,NA,210.2,4.3,5.5,80.7,67.9,NA,28.2,4.6,NA,51.9,7.6,9.5,137.8,26,39.7,2391.6,2.1,NA,NA,4.9,6.7,9,3.3,135.3,2221,8.8,63.2,NA,100.3,NA,3297.4,NA,133,163608.2,87.2,NA,9018.8,NA,NA,NA,250.8,103,4010.3,1757.5,112057.5,2401.6,1203.1,8109.9,1771.3,NA,3146.9,161.4,427.8,403.4,471.1,5024,4363.7,NA,916.1,193,262.4,35580.9,NA,607.4,5403.8,22596.9,1684.8,514.5,365.2,2157.8,2250.5,283.5,315.2,2252.4,NA,12614.1,258.2,331.6,4842.7,4076,NA,1690,277.4,NA,3113.8,456.8,571.5,8270.7,1560.5,2381.7,143496.2,126.5,NA,NA,296.6,403,539.3,195.7,8118.1,133260,529.2,3790.4,NA,6018.7,NA,197846.6,NA,0.02,0,0.01,NA,1.25,NA,NA,NA,0.03,0.01,0.55,0.24,15.08,0.32,0.16,1.1,0.24,NA,0.42,0.02,0.06,0.05,0.06,0.67,0.6,NA,0.12,0.03,0.04,4.61,NA,0.08,0.7,2.95,0.22,0.07,0.05,0.28,0.29,0.04,0.04,0.29,NA,1.64,0.03,0.04,0.62,0.52,NA,0.21,0.04,NA,0.39,0.06,0.07,1.04,0.2,0.3,18.05,0.02,NA,NA,0.04,0.05,0.07,0.02,1.02,16.76,0.07,0.47,NA,0.74,NA,23.93,NA,16000.91,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",185.8,200.3,11149.3,12016.9,1.4,1.51
"262","2025\08\29\SCAL_0464_2.DATA",1.6,1977.2,0.2,NA,109.4,NA,NA,NA,2.9,1.1,48.8,21.1,1317.5,26.7,14.3,98,22.7,NA,40.5,3.8,5.4,5.6,6.2,59.5,52.6,NA,11.6,2.8,3.3,416.5,NA,7.2,64,266.3,17.7,2.3,NA,23.9,26.3,3.2,2.8,26.8,NA,148.5,2.5,3.9,56.9,47.7,NA,47.9,3.3,NA,37.1,4.9,5.6,95.3,18.1,27.7,1657.6,1.6,NA,NA,3.1,4.5,6.3,NA,93.7,1530.8,5.7,44.2,NA,70.2,NA,2259,NA,94.1,118633.5,12.5,NA,6565.3,NA,NA,NA,176.4,67,2930.4,1264.3,79051.3,1600.2,860.3,5882,1364.1,NA,2428,226.9,325.4,334.7,369.7,3570.3,3154.3,NA,695.2,170.9,195.8,24989.2,NA,431.5,3840.6,15977.6,1064,140.3,NA,1436.4,1579.7,191.9,168.1,1607.8,NA,8907.2,152.2,232,3411.5,2864.1,NA,2871.3,199.9,NA,2223.3,291.5,333.2,5719.3,1086.9,1661.5,99458.5,93.3,NA,NA,183.4,269.6,379.4,NA,5624.6,91846.3,344.3,2652.6,NA,4212.1,NA,135542.6,NA,0.02,0,0,NA,1.31,NA,NA,NA,0.03,0.01,0.58,0.24,15.25,0.31,0.17,1.14,0.26,NA,0.46,0.04,0.06,0.06,0.07,0.68,0.62,NA,0.13,0.03,0.04,4.65,NA,0.08,0.72,2.99,0.2,0.03,NA,0.27,0.29,0.04,0.03,0.3,NA,1.66,0.03,0.04,0.62,0.52,NA,0.52,0.04,NA,0.4,0.05,0.06,1.03,0.2,0.3,17.94,0.02,NA,NA,0.03,0.05,0.07,NA,1.01,16.57,0.06,0.47,NA,0.74,NA,23.51,NA,11237.69,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",132,140.7,7918.2,8442.6,1.43,1.52
"263","2025\08\29\SCAL_0465.DATA",3.4,3957.1,1.8,NA,188.6,NA,NA,NA,6,2.4,87.2,37.9,2395.7,39.3,21.2,184.8,37.7,NA,61.3,6.9,14.9,6.3,9.9,87.9,95.8,NA,16.1,4.3,6.3,673.4,NA,7.9,129.7,519.5,23.9,3.7,NA,40.7,35,5.8,NA,41.3,NA,223,4,4.5,92,70,NA,20.9,10.4,NA,52.8,4.8,8.5,185.6,18.4,30.3,2837.1,6,3.4,NA,4.3,7.8,11.6,3.8,139.1,3071.2,9.9,86.3,NA,134.8,NA,4374.9,NA,201.5,237425.9,105.5,NA,11318.3,NA,NA,NA,362.2,141.8,5232.9,2276.4,143744.4,2360.4,1269.7,11090.5,2263.4,NA,3680,413.4,891,375.9,591.6,5275.3,5748,NA,964.6,258.7,379.6,40401.4,NA,475.5,7784.5,31168.9,1434.2,219.3,NA,2441.4,2100.5,349.5,NA,2476.6,NA,13377.9,237.1,267.7,5519.7,4198.3,NA,1255.2,622.1,NA,3169.4,287.4,508.3,11135.8,1102.1,1815.9,170227.5,359.7,204.7,NA,255.4,469.3,696.2,226,8344.8,184273.7,595.6,5177.6,NA,8090.8,NA,262494.5,NA,0.02,0,0.01,NA,1.24,NA,NA,NA,0.04,0.02,0.57,0.24,15.26,0.25,0.14,1.18,0.24,NA,0.39,0.04,0.09,0.04,0.06,0.55,0.62,NA,0.1,0.03,0.04,4.14,NA,0.05,0.8,3.21,0.15,0.02,NA,0.25,0.22,0.04,NA,0.25,NA,1.37,0.02,0.03,0.55,0.42,NA,0.13,0.06,NA,0.32,0.03,0.05,1.11,0.11,0.18,16.9,0.04,0.02,NA,0.03,0.05,0.07,0.02,0.83,18.3,0.06,0.5,NA,0.79,NA,25.06,NA,20764.83,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",207.3,241.3,12438.8,14477.2,1.24,1.44
"264","2025\08\29\SCAL_0466.DATA",4.1,5980,2.5,1,273.6,6.1,NA,NA,7.4,2.1,115.7,63.7,3275.6,64.7,33.5,263.3,49.2,NA,97.5,12.1,12.4,15,15.2,141.8,113.4,7.1,29.6,5.7,8.6,22.9,912,15.7,177.6,608.2,42.1,14,10.6,64.9,67.8,11.1,9.6,73.5,9.5,421.4,6.8,8.4,130.9,115.1,NA,72.7,6.7,34,82.1,13.3,15.3,231.9,38.5,54.8,4132.8,6.8,NA,5.4,8.5,11.7,17,4.9,207.8,3732,15,112.7,9.5,167.1,NA,5602.8,NA,246.6,358800.6,147.5,59.4,16417.5,368.8,NA,NA,443.4,124.9,6944.4,3824.4,196534.3,3881.8,2012.2,15800.5,2952.5,NA,5851.2,728.7,744.5,900.8,914.4,8508.9,6802,423.5,1777.3,344.8,517.7,1374.4,54720.6,940.6,10658.7,36491.6,2527.1,842.6,636.1,3893.9,4068.2,664.7,577.5,4409.3,571.7,25282.9,406.1,506.8,7855.5,6907.7,NA,4363.9,404.5,2037.5,4927.9,799.8,917.4,13914.7,2308.3,3290.5,247969.6,408.9,NA,324.7,510.8,701.4,1022.3,292.1,12467.2,223918.4,900.3,6762.6,567.1,10027.6,NA,336166.5,NA,0.02,0,0.01,0,1.33,0.03,NA,NA,0.04,0.01,0.56,0.3,15.42,0.31,0.16,1.25,0.23,NA,0.45,0.06,0.06,0.07,0.07,0.66,0.54,0.03,0.13,0.03,0.04,0.1,4.16,0.07,0.81,2.77,0.19,0.06,0.05,0.29,0.31,0.05,0.04,0.33,0.04,1.91,0.03,0.04,0.58,0.51,NA,0.32,0.03,0.15,0.36,0.06,0.07,1.02,0.17,0.24,18.19,0.03,NA,0.02,0.04,0.05,0.07,0.02,0.91,16.42,0.06,0.49,0.04,0.72,NA,23.71,NA,28706.41,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",297.3,299.8,17835.2,17985.8,1.31,1.32
"265","2025\08\29\SCAL_0467.DATA",1.8,1657,NA,NA,79.3,2.5,NA,2.4,NA,NA,35.3,16.3,1035.5,20.4,11.8,78.9,17.5,32.8,3.9,10.7,3.5,3.9,NA,41.6,29.4,NA,7,0,9.6,327,NA,NA,65.9,240.4,14.1,1.6,NA,20.6,21.8,5.5,NA,22.5,NA,145.9,4.8,NA,42.5,35.4,2.5,27.9,4.3,18.7,25.1,3.7,3.7,64.4,13.2,24.1,1256.7,2.3,NA,NA,NA,4.1,7.5,NA,73.3,1410.4,4,33.1,NA,59.1,NA,1736.6,NA,106.5,99417.8,NA,NA,4759.1,148.7,NA,146.9,NA,NA,2116.3,981,62128.9,1223.8,710.7,4734.3,1048,1968.7,231.2,644,212.7,235.9,NA,2496,1763.3,NA,421.7,0,578.5,19622.6,NA,NA,3956.2,14423.9,845.5,98.9,NA,1233.5,1306.9,332.6,NA,1352.4,NA,8754.2,290.1,NA,2547.1,2122.1,151.8,1673.1,259.4,1124.1,1503.7,221,219.4,3865.2,791.6,1444.5,75401.7,141,NA,NA,NA,247.4,451.1,NA,4395,84625.4,239.6,1983.9,NA,3544.2,NA,104198.7,NA,0.02,0,NA,NA,1.21,0.03,NA,0.03,NA,NA,0.54,0.24,15.32,0.3,0.18,1.17,0.26,0.45,0.06,0.16,0.05,0.05,NA,0.61,0.44,NA,0.1,0,0.14,4.66,NA,NA,0.95,3.45,0.2,0.02,NA,0.29,0.31,0.08,NA,0.32,NA,2.08,0.07,NA,0.59,0.49,0.04,0.39,0.06,0.26,0.35,0.05,0.05,0.89,0.18,0.33,17.38,0.03,NA,NA,NA,0.06,0.1,NA,1.01,19.51,0.05,0.45,NA,0.8,NA,23.1,NA,9101.5,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",107,122.9,6421.6,7372.3,0,0
"266","2025\09\03\SCAL_0468.DATA",2.7,4488.3,NA,NA,128,NA,NA,NA,3.2,1.2,59.1,20.3,1681.3,30.9,19.4,118.8,25.3,NA,49.9,4.5,6.8,5.1,6.4,73.1,49.9,NA,9.9,2.1,3.5,545,NA,14.1,89,344,27.8,7.3,4.9,28.6,35.2,5.2,4,31.7,4.5,200.3,8.3,4,65.1,52.4,NA,60.4,4.3,NA,39,6.9,7,113.8,28.3,30,2044.7,4.1,NA,NA,5,6.3,9.6,2.4,108.9,2130.4,8.6,59.1,NA,93.1,NA,2714.5,13.1,164.6,269298.4,NA,NA,7680.9,NA,NA,NA,194.3,71.8,3543.9,1218.2,100878.6,1854.4,1166.6,7126.1,1521,NA,2993.9,267,406.9,305.3,386.4,4387,2996.9,NA,596.9,124.7,212.3,32702.2,NA,846.2,5341,20640.9,1669.1,439.4,295.5,1713.6,2113.9,312.9,239.3,1900.3,270.4,12020.2,498.8,242.8,3908.1,3144.6,NA,3626.9,257.6,NA,2340.2,412.6,422.4,6829.9,1696.9,1799.7,122683.1,245,NA,NA,298,378.9,573.3,143.9,6531.6,127822.6,514,3547.3,NA,5588.7,NA,162867.7,784.6,0.02,0,NA,NA,1.21,NA,NA,NA,0.03,0.01,0.55,0.19,15.36,0.28,0.18,1.09,0.23,NA,0.45,0.04,0.06,0.04,0.06,0.66,0.46,NA,0.08,0.02,0.03,4.8,NA,0.12,0.79,3.04,0.25,0.06,0.04,0.25,0.31,0.05,0.04,0.28,0.04,1.76,0.07,0.03,0.56,0.45,NA,0.52,0.04,NA,0.33,0.06,0.06,0.97,0.24,0.26,17.46,0.03,NA,NA,0.04,0.05,0.08,0.02,0.93,18.19,0.07,0.5,NA,0.78,NA,22.29,0.11,16224.49,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",168.9,173.3,10136.2,10397.8,1.44,1.48
"267","2025\09\03\SCAL_0469.DATA",2,3599.7,1.3,NA,170.4,1.3,NA,NA,5.1,2,66.7,8.3,1946.4,33.8,18.5,131.3,29.2,NA,59.4,5.8,5.7,5.9,8.2,89,49.5,NA,11.8,2.8,3.4,545.5,NA,16.2,100,339.2,30.9,8.5,6.2,34.3,34.7,4.7,NA,36.4,NA,189,5.7,4.8,79.5,81.2,NA,86.2,3.3,NA,54.2,8.5,10.3,144.3,25.1,35.8,2414.1,4.3,NA,NA,5.2,7.2,9.9,2.7,128.2,2000.8,10.2,76.2,NA,97.3,NA,3328,1.4,117.5,215981.6,80.3,NA,10224.4,77.4,NA,NA,304.2,119.1,4003.7,495.4,116785,2026,1111.2,7880,1754.7,NA,3564.3,348.4,339.1,351.5,492.3,5338.5,2968.7,NA,710.9,167.7,201.2,32729.9,NA,969.1,5998.2,20354.6,1852.4,507.2,372.8,2055.3,2083.4,279.6,NA,2183.4,NA,11341,339,288,4771.1,4872.2,NA,5174.9,199.7,NA,3250,510.7,615.4,8658.3,1503.7,2145.1,144846.1,257.4,NA,NA,310.7,433,594.3,160.1,7692.6,120047.9,612.9,4569.3,NA,5840.2,NA,199680.9,85.8,0.01,0,0.01,NA,1.44,0.01,NA,NA,0.04,0.02,0.56,0.07,15.94,0.28,0.15,1.08,0.24,NA,0.48,0.05,0.05,0.04,0.07,0.72,0.41,NA,0.09,0.02,0.03,4.31,NA,0.13,0.79,2.69,0.24,0.07,0.05,0.27,0.27,0.04,NA,0.29,NA,1.49,0.04,0.04,0.62,0.63,NA,0.66,0.03,NA,0.42,0.07,0.08,1.11,0.19,0.27,18.49,0.03,NA,NA,0.04,0.06,0.08,0.02,0.98,15.32,0.08,0.57,NA,0.73,NA,24.5,0.01,16679.86,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",149.7,174.5,8982.7,10473,1.15,1.34
"268","2025\09\03\SCAL_0470.DATA",1,2999,1.4,NA,118.2,NA,NA,NA,3.3,1.1,52.6,20.6,1506.8,24.1,13.7,99.8,24.3,NA,46.1,4.3,7.1,4.5,4.9,60.4,46.4,NA,8.3,NA,3.3,462.2,NA,0,71.2,302.6,19.4,2.2,NA,22.6,24.6,3.2,NA,26.6,NA,166,NA,3.9,58.3,51.7,NA,57.8,4.3,NA,32.7,4.3,4.5,105.3,14.7,22.6,1717.2,4,NA,NA,3.3,4.4,8,2.6,83.6,1808.6,7.1,41.7,NA,77,NA,2614.4,NA,60.8,179942,85.8,NA,7094.9,NA,NA,NA,199,67.2,3155.2,1233.6,90406.4,1447.4,824.6,5989,1459.3,NA,2763.7,259,426.8,269.4,294.2,3624.4,2781.5,NA,497.2,NA,198,27729.7,NA,0,4273.5,18153.1,1167,132.7,NA,1355.9,1475.8,194.7,NA,1597.4,NA,9957.2,NA,232.5,3500.6,3103.3,NA,3466.7,256.6,NA,1962.9,259,270.6,6318.4,883.8,1359,103031.8,242.1,NA,NA,196.2,261.5,480,154.1,5014.9,108517.3,425.4,2501.9,NA,4618.7,NA,156867,NA,0.01,0,0.02,NA,1.28,NA,NA,NA,0.04,0.01,0.56,0.21,15.74,0.25,0.14,1.05,0.26,NA,0.48,0.04,0.07,0.04,0.05,0.62,0.49,NA,0.08,NA,0.03,4.65,NA,0,0.72,3.06,0.2,0.02,NA,0.23,0.25,0.03,NA,0.27,NA,1.67,NA,0.04,0.58,0.51,NA,0.57,0.04,NA,0.32,0.04,0.04,1.03,0.14,0.22,16.77,0.04,NA,NA,0.03,0.04,0.08,0.03,0.82,17.67,0.07,0.4,NA,0.74,NA,24.56,NA,13236.17,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",126,143,7559.1,8579.1,1.23,1.4
